Stock,source,Year,Rev2013,Council,Lab,Record,Habitat,Bycatch,Diet,Predator,Climate,TechInt,Competition,OF2001,OF0105,OF10-14,OF2014,Sptype,DietLab
Cowcod - Southern California,web,2011,181,PFMC,NW-SW,KM,1,0,2,2,1,3,0,1,Overfished,Overfished,1,groundfish,No Diet Lab
Darkblotched rockfish Pacific Coast,web,2013,131976,PFMC,NW-SW,KM,1,0,1,1,1,3,0,1,Overfished,Not Overfished,0,groundfish,No Diet Lab
Dover Sole Pacific Coast,RAM,2011,7738458,PFMC,NW-SW,KM,1,0,1,0,1,0,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
English sole - Pacific Coast,web,2007,242764,PFMC,NW-SW,KM,1,0,0,0,0,1,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Gopher Rockfish Northern California,RAM,2005,392098,PFMC,NW-SW,LK,1,0,0,1,0,0,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Greenspotted rockfish - Pacific Coast,web,2011,8674,PFMC,NW-SW,KM,1,0,0,0,0,1,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
"Greenstriped Rockfish Ca, OR, WA",RAM,2009,111,PFMC,NW-SW,KM,1,0,1,1,0,3,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Kelp greenling - Oregon,web,2005,292241,PFMC,NW-SW,KM,1,0,0,0,0,3,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Lingcod Pacific Coast ,RAM,2009,1239079,PFMC,NW-SW,KM,1,0,1,1,1,3,0,1,Overfished,Not Overfished,0,groundfish,No Diet Lab
Longnose skate - Pacific Coast,web,2007,904387,PFMC,NW-SW,KM,1,0,0,0,0,3,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
"Longspine thornyhead (California, Oregon, and Washington)",web,2011,0,PFMC,NW-SW,KM,1,1,1,1,0,0,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Pacific Sanddab,web,2013,164563,PFMC,NW-SW,KM,1,1,1,1,1,0,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Petrale sole Pacific Coast,web,2013,6179659,PFMC,NW-SW,KM,1,1,1,1,1,0,0,0,Not Overfished,Overfished,0,groundfish,No Diet Lab
Rougheye and Blackspotted Rockfish,web,2013,1535174,PFMC,NW-SW,KM,1,0,1,1,1,3,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Sablefish Pacific Coast,RAM,2011,19572546,PFMC,NW-SW,KM,1,0,1,1,3,3,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
"Shortspine Thornyhead - Washington, Oregon, California 2013",web,2013,3171584,PFMC,NW-SW,KM,1,0,1,1,0,0,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Spiny dogfish Pacific Coast,web,2011,80258,PFMC,NW-SW,KM,1,0,1,1,1,3,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Splitnose Rockfish,RAM,2009,20371,PFMC,NW-SW,KM,1,0,1,1,1,3,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
"Starry Flounder off CA., OR., and WA.",RAM,2005,12517,PFMC,NW-SW,LK,2.5,0,1,0,0,0,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Vermilion Rockfish Pacific Coast,web,2005,157649,PFMC,NW-SW,KM,1,0,0,0,0,0,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Whiting Pacific Coast,web,2014,61321406,PFMC,NW-SW,KM,1,2,1,1,1,1,0,0,Overfished,Not Overfished,0,groundfish,No Diet Lab
Widow rockfish Pacific Coast,RAM,2011,459034,PFMC,NW-SW,KM,1,0,1,0,0,3,0,1,Overfished,Not Overfished,0,groundfish,No Diet Lab
Yelloweye rockfish Pacific Coast,RAM,2011,1575,PFMC,NW-SW,KM,1,0,1,1,1,1,0,0,Overfished,Overfished,1,groundfish,No Diet Lab
Yellowtail rockfish Pacific Coast Northern stock (2005),RAM,2005,1323495,PFMC,NW-SW,LK,0,0,0,0,0,3,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
